"Y" "X1" "X2" "X3" "X4" "X5" "X6" "Lat" "Longi"
11.71177632 14 47 3 0 0 0.008518836 37.974028 -121.332784
12.1281111 25.92 14 5 0 0 0.028560781 38.0364 -121.334928
11.62625415 15.51 21 3 0 0 0.036516801 38.037652 -121.326896
10.93310697 9 27 2 0 0 0.002381209 38.008292 -121.357384
11.67419361 14.24 59 3 1 0 0.042682982 37.990864 -121.302624
11.73606902 12.78 43 3 0 0 0.021393117 38.019616 -121.336248
11.12726298 10 17 2 0 0 0.048869511 37.995028 -121.297584
11.7745202 16.45 9 4 1 0 0.076179854 38.027724 -121.280744
12.56024446 29 18 3 1 1 0.09995218 38.02598 -121.254672
11.51242534 12.29 51 3 0 0 0.012945288 37.974356 -121.328176
11.96081129 18 38 3 0 0 0.040588079 38.001112 -121.308736
11.40756495 12.3 74 2 0 1 0.041876245 37.97336 -121.296872
11.8493977 20.1 13 4 0 1 0.007927155 38.034956 -121.35644
12.08672589 18 30 3 0 0 0.005035653 38.000084 -121.35712
11.65268741 13.62 21 3 1 0 0.032447005 38.02544 -121.326632
11.11914186 11 43 4 1 1 0.014790408 37.978856 -121.327904
11.49272276 10.81 54 2 1 1 0.040091373 37.978028 -121.300544
11.26446411 12 75 2 1 0 0.028515155 37.961136 -121.306536
12.20607265 19 19 3 0 0 0.015025363 37.989852 -121.331808
11.51691749 14.99 32 4 1 1 0.049980245 38.0186 -121.305304
11.7109153 16 20 3 0 0 0.034543771 38.032028 -121.32688
11.84904049 16 19 3 0 1 0.0063432 37.980872 -121.337696
11.83500896 17 45 3 1 0 0.025019246 38.01732 -121.331504
11.85103921 16 17 3 0 0 0.01472278 37.983788 -121.32984
11.54151292 14 10 4 0 0 0.056028277 38.007468 -121.294632
11.18372671 7.8 54 2 1 0 0.045733949 37.9815 -121.295824
11.58524613 17.89 25 4 0 0 0.052253409 38.023824 -121.304848
11.66134547 11 58 2 0 0 0.032132456 37.976048 -121.308304
11.65268741 15.52 22 3 0 0 0.031139872 38.036604 -121.332248
11.27720313 10.47 48 2 0 0 0.003079108 37.966432 -121.342312
11.9316358 25.72 19 4 0 0 0.006004096 38.032776 -121.357672
12.14950229 23 20 4 1 0 0.011684918 37.995412 -121.33748
11.47210347 11.58 19 3 1 0 0.073110851 38.027616 -121.283984
11.65268741 15 12 3 1 0 0.0089445 38.03758 -121.356344
11.69524702 14.25 51 2 1 0 0.033693167 37.971508 -121.30492
